ID,Contract,Dependents,DeviceProtection,InternetService,MonthlyCharges,MultipleLines,Partner,PaymentMethod,PhoneService,SeniorCitizen,TVProgram,TotalCharges,gender,tenure,Label
848,Month-to-month,No,Yes,Fiber optic,109.4,Yes,No,Bank transfer (automatic),Yes,1,Yes,7031.45,Male,63,No
849,Month-to-month,No,No,Fiber optic,73.65,No,Yes,Electronic check,Yes,1,No,1463.5,Male,20,Yes
850,Month-to-month,No,No,Fiber optic,85.5,No,No,Mailed check,Yes,1,No,4042.3,Male,47,Yes
851,Month-to-month,No,Yes,Fiber optic,91.4,Yes,No,Electronic check,Yes,0,Yes,193.6,Female,2,Yes
852,One year,Yes,Yes,Fiber optic,85.15,No,No,Electronic check,Yes,0,Yes,3030.6,Male,35,Yes
853,Month-to-month,No,No,Fiber optic,66.25144339,No,No,Electronic check,Yes,0,No,1127.498729,Female,20,Yes
854,Month-to-month,Yes,Yes,Fiber optic,95.95,Yes,Yes,Bank transfer (automatic),Yes,0,No,4456.65,Male,45,No
855,Two year,No,Yes,DSL,65.5,No phone service,Yes,Bank transfer (automatic),No,0,Yes,4919.7,Female,72,No
856,Month-to-month,No,No,Fiber optic,93.5,No,No,Credit card (automatic),Yes,0,No,4747.5,Male,50,No
857,Two year,No,Yes,DSL,86.1,Yes,Yes,Electronic check,Yes,0,Yes,4890.5,Male,58,No
858,Month-to-month,No,No,DSL,44.95,No,No,Mailed check,Yes,0,No,431.0,Male,9,Yes
859,One year,No,No,DSL,30.75,No phone service,No,Bank transfer (automatic),No,0,No,1489.3,Male,46,No
860,One year,No,Yes,DSL,60.25,No,No,Credit card (automatic),Yes,0,No,3282.75,Female,56,No
861,Month-to-month,No,No,Fiber optic,101.85,Yes,Yes,Electronic check,Yes,1,Yes,4086.3,Male,40,Yes
862,Month-to-month,No,No,Fiber optic,71.00556737,No,No,Electronic check,Yes,0,No,549.1615455,Female,7,Yes
863,One year,No,No,DSL,51.55,Yes,No,Credit card (automatic),Yes,0,No,1295.4,Male,26,No
864,Two year,Yes,Yes,DSL,84.0,Yes,Yes,Mailed check,Yes,0,Yes,5714.25,Male,66,No
865,Month-to-month,No,No,Fiber optic,85.55805047,No,No,Electronic check,Yes,0,No,156.4641154,Female,2,Yes
866,Month-to-month,No,No,Fiber optic,78.7,No,No,Bank transfer (automatic),Yes,0,Yes,1495.1,Male,19,No
867,Month-to-month,No,No,Fiber optic,70.3,No,No,Electronic check,Yes,0,No,70.3,Male,1,Yes
868,One year,Yes,No,DSL,54.75,No,No,Credit card (automatic),Yes,0,No,1266.35,Female,25,No
869,Month-to-month,No,No internet service,No,20.06706296,No,No,Mailed check,Yes,0,No internet service,32.8124016,Male,1,Yes
870,One year,Yes,No,DSL,53.65,No,Yes,Credit card (automatic),Yes,0,No,696.35,Male,12,Yes
871,One year,No,No,Fiber optic,90.6,No,Yes,Credit card (automatic),Yes,0,No,6056.15,Male,67,Yes
872,Month-to-month,No,No,Fiber optic,68.65332728,Yes,Yes,Electronic check,Yes,0,Yes,2806.674776000001,Male,44,No
873,Month-to-month,No,Yes,DSL,55.7,Yes,No,Bank transfer (automatic),Yes,0,No,2237.55,Male,41,No
874,One year,No,No,DSL,70.95,Yes,No,Bank transfer (automatic),Yes,0,No,3629.2,Male,48,No
875,Month-to-month,Yes,Yes,Fiber optic,102.8,No,Yes,Electronic check,Yes,0,Yes,2110.15,Female,21,Yes
876,One year,No,No internet service,No,19.0,No,Yes,Credit card (automatic),Yes,0,No internet service,918.7,Female,49,No
877,Month-to-month,No,No,DSL,46.89571382,No,No,Electronic check,Yes,0,No,46.89571382,Female,1,Yes
878,Month-to-month,No,No,DSL,70.3,No,No,Electronic check,Yes,0,Yes,132.4,Male,2,No
879,Month-to-month,No,No,DSL,38.73417136,No,No,Electronic check,Yes,0,No,137.1482572,Female,3,Yes
880,Month-to-month,No,No,Fiber optic,56.36594184,No,No,Electronic check,Yes,0,No,532.4131307,Female,9,No
881,Month-to-month,No,No,Fiber optic,87.1,No,No,Electronic check,Yes,1,Yes,713.6,Female,8,No
882,One year,Yes,Yes,Fiber optic,108.15,Yes,Yes,Credit card (automatic),Yes,0,Yes,7930.55,Female,70,No
883,Month-to-month,Yes,No internet service,No,19.0,No,Yes,Mailed check,Yes,0,No internet service,233.55,Female,12,Yes
884,Month-to-month,No,No,Fiber optic,80.2626423,No,No,Electronic check,Yes,0,No,330.4888775,Female,3,No
885,Month-to-month,No,No,DSL,34.25,No phone service,No,Mailed check,No,0,No,139.35,Female,3,Yes
886,Month-to-month,No,Yes,Fiber optic,106.35,Yes,Yes,Electronic check,Yes,0,Yes,6751.35,Female,61,No
887,Month-to-month,No,No internet service,No,23.10114964,No,No,Mailed check,Yes,0,No internet service,56.4864795,Male,2,Yes
888,Month-to-month,Yes,No internet service,No,24.8,Yes,No,Electronic check,Yes,0,No internet service,324.15,Male,15,No
889,Month-to-month,No,No,Fiber optic,83.42243392,No,No,Electronic check,Yes,0,No,467.5041711,Female,5,No
890,Month-to-month,No,No,Fiber optic,85.8,No,No,Electronic check,Yes,0,No,272.2,Female,3,Yes
891,Month-to-month,No,No,DSL,38.9,No phone service,No,Electronic check,No,0,Yes,664.4,Female,16,No
892,Month-to-month,Yes,No,Fiber optic,81.05,No,Yes,Electronic check,Yes,0,No,81.05,Male,1,No
893,Month-to-month,No,No,DSL,50.6,Yes,No,Mailed check,Yes,0,No,249.95,Female,5,Yes
894,Month-to-month,No,No,DSL,51.0,No phone service,No,Mailed check,No,0,Yes,305.95,Male,5,Yes
895,Two year,Yes,No internet service,No,23.55,Yes,Yes,Mailed check,Yes,0,No internet service,1173.35,Male,48,No
896,Two year,No,Yes,DSL,83.85,No,Yes,Credit card (automatic),Yes,0,Yes,4307.1,Male,51,No
897,Month-to-month,Yes,No,Fiber optic,80.95,Yes,Yes,Electronic check,Yes,1,No,4859.1,Male,60,No
898,One year,Yes,Yes,DSL,79.4,Yes,Yes,Electronic check,Yes,0,No,4820.55,Female,61,No
899,Month-to-month,No,Yes,DSL,64.3,No,No,Bank transfer (automatic),Yes,0,Yes,445.95,Male,7,No
900,Month-to-month,No,No internet service,No,20.6,No,No,Credit card (automatic),Yes,0,No internet service,330.25,Male,16,No
901,One year,No,Yes,Fiber optic,104.75,Yes,No,Bank transfer (automatic),Yes,1,Yes,5510.65,Female,56,Yes
902,Two year,No,No,Fiber optic,101.05,Yes,Yes,Bank transfer (automatic),Yes,0,Yes,5971.25,Female,61,No
903,Two year,No,No internet service,No,19.35,No,Yes,Bank transfer (automatic),Yes,0,No internet service,1319.95,Female,65,No
904,Month-to-month,No,No,Fiber optic,87.75632933,Yes,No,Electronic check,Yes,0,Yes,1800.522411,Male,20,No
905,Month-to-month,No,Yes,Fiber optic,101.35,Yes,No,Electronic check,Yes,0,Yes,3334.9,Female,32,No
906,Month-to-month,No,No,Fiber optic,69.7,No,No,Bank transfer (automatic),Yes,0,No,69.7,Female,1,Yes
907,Month-to-month,Yes,Yes,Fiber optic,95.5,Yes,Yes,Bank transfer (automatic),Yes,0,No,1916.2,Female,20,No
908,Month-to-month,Yes,No internet service,No,20.35,No,No,Mailed check,Yes,0,No internet service,178.7,Male,8,No
909,Month-to-month,No,No,DSL,44.75,No,No,Electronic check,Yes,0,No,44.75,Male,1,No
910,Month-to-month,No,No,Fiber optic,78.05,No,No,Electronic check,Yes,0,Yes,78.05,Female,1,Yes
911,One year,Yes,No internet service,No,19.8,No,Yes,Electronic check,Yes,0,No internet service,160.05,Female,8,No
912,Month-to-month,No,Yes,Fiber optic,82.65,Yes,No,Credit card (automatic),Yes,1,No,1470.05,Female,17,No
913,Month-to-month,No,No,DSL,37.4632646,No,No,Electronic check,Yes,0,No,81.90813889,Female,2,Yes
914,Month-to-month,Yes,No,DSL,64.5,No,No,Bank transfer (automatic),Yes,0,No,177.4,Female,3,No
915,One year,Yes,Yes,Fiber optic,106.1,Yes,Yes,Bank transfer (automatic),Yes,0,Yes,7848.5,Male,72,No
916,Month-to-month,No,No,Fiber optic,59.38036941,Yes,Yes,Electronic check,Yes,0,Yes,2450.086166,Male,42,Yes
917,Month-to-month,No,Yes,Fiber optic,101.3,No,No,Credit card (automatic),Yes,0,Yes,1794.65,Male,18,No
918,One year,Yes,No internet service,No,20.0,No,Yes,Mailed check,Yes,0,No internet service,817.95,Female,43,No
919,Month-to-month,No,No,Fiber optic,89.35,No,No,Electronic check,Yes,1,Yes,567.8,Female,6,No
920,Month-to-month,No,Yes,Fiber optic,89.1,Yes,Yes,Electronic check,Yes,1,No,5618.3,Male,62,No
921,Two year,Yes,No internet service,No,20.25,No,No,Mailed check,Yes,0,No internet service,2283.300441,Male,0,No
922,Two year,No,Yes,DSL,88.05,Yes,Yes,Bank transfer (automatic),Yes,0,Yes,6520.8,Female,72,No
923,Month-to-month,No,No internet service,No,20.3,No,No,Mailed check,Yes,0,No internet service,275.4,Female,13,No
924,Month-to-month,No,No,Fiber optic,74.95,Yes,No,Electronic check,Yes,0,No,212.4,Female,3,No
925,Month-to-month,No,No,Fiber optic,73.92348779,No,No,Electronic check,Yes,0,No,160.2245579,Female,2,Yes
926,Month-to-month,Yes,No,DSL,54.4,No,Yes,Electronic check,Yes,0,Yes,475.1,Male,8,No
927,One year,Yes,No internet service,No,19.7,No,Yes,Mailed check,Yes,0,No internet service,2283.300441,Male,0,No
928,Month-to-month,No,No,DSL,28.54739825,No,No,Electronic check,Yes,0,No,129.9463997,Male,5,Yes
929,Month-to-month,No,Yes,Fiber optic,96.96039599,Yes,Yes,Electronic check,Yes,0,Yes,5701.148311,Male,59,Yes
930,Two year,No,Yes,DSL,39.6,No phone service,No,Bank transfer (automatic),No,0,No,2424.5,Male,60,No
931,One year,No,Yes,Fiber optic,109.55,Yes,Yes,Mailed check,Yes,1,Yes,4830.25,Female,43,Yes
932,Month-to-month,No,No,Fiber optic,100.32384590000001,Yes,Yes,Electronic check,Yes,0,Yes,2989.978523,Female,29,Yes
933,Month-to-month,No,No,Fiber optic,91.11543520000001,Yes,No,Electronic check,Yes,0,Yes,1579.696402,Male,17,Yes
934,Month-to-month,No,No,Fiber optic,81.82720452,No,No,Electronic check,Yes,0,No,81.82720452,Female,1,Yes
935,One year,No,Yes,Fiber optic,95.55,No,No,Electronic check,Yes,0,Yes,3692.85,Female,39,Yes
936,Month-to-month,No,No,Fiber optic,94.75,Yes,No,Electronic check,Yes,1,Yes,3653.0,Male,38,No
937,One year,No,No,Fiber optic,81.4,Yes,No,Credit card (automatic),Yes,0,No,3213.75,Male,39,No
938,Month-to-month,No,No,Fiber optic,81.0,Yes,Yes,Electronic check,Yes,1,No,371.65,Female,5,Yes
939,Month-to-month,No,Yes,Fiber optic,74.8,No,No,Credit card (automatic),Yes,0,No,3548.3,Female,46,No
940,Month-to-month,No,No,Fiber optic,90.6,No,No,Electronic check,Yes,0,Yes,90.6,Female,1,Yes
941,One year,Yes,No internet service,No,20.0,No,Yes,Credit card (automatic),Yes,0,No internet service,445.3,Male,23,No
942,One year,No,Yes,Fiber optic,111.55,Yes,Yes,Electronic check,Yes,0,Yes,5720.35,Male,51,No
943,Month-to-month,No,No,Fiber optic,69.95,No,No,Electronic check,Yes,1,No,69.95,Female,1,Yes
944,Month-to-month,No,No,DSL,60.25,Yes,No,Electronic check,Yes,0,Yes,170.5,Female,3,No
945,Month-to-month,No,No,Fiber optic,72.45029521,No,No,Electronic check,Yes,0,No,72.45029521,Female,1,Yes
946,Month-to-month,No,No,Fiber optic,98.82445779,No,No,Electronic check,Yes,0,No,294.0603386,Female,3,No
947,Month-to-month,No,No,DSL,36.67822003,No,No,Electronic check,Yes,0,No,54.19705049,Male,1,Yes
948,Month-to-month,No,No,Fiber optic,74.9,Yes,No,Mailed check,Yes,0,No,136.05,Female,2,No
949,Month-to-month,No,No,Fiber optic,101.6849353,Yes,No,Electronic check,Yes,0,Yes,4257.503229999998,Female,41,Yes
950,Month-to-month,No,No,Fiber optic,94.3102635,Yes,No,Electronic check,Yes,0,No,930.2710973,Female,9,Yes
951,Two year,Yes,No internet service,No,21.25,No,Yes,Mailed check,Yes,0,No internet service,711.9,Male,30,No
952,Month-to-month,No,No,Fiber optic,95.13099958,Yes,Yes,Electronic check,Yes,0,Yes,2873.5403890000002,Male,31,Yes
953,Month-to-month,No,No,Fiber optic,75.9,No,No,Bank transfer (automatic),Yes,0,No,1373.05,Male,18,No
954,Two year,No,No,DSL,79.6,No,Yes,Bank transfer (automatic),Yes,0,Yes,5515.8,Female,68,No
955,Two year,Yes,No,DSL,35.05,No phone service,No,Bank transfer (automatic),No,0,No,844.45,Female,25,No
956,Month-to-month,No,No,Fiber optic,94.2,No,Yes,Electronic check,Yes,0,Yes,167.5,Male,2,Yes
957,One year,Yes,Yes,DSL,78.65,Yes,Yes,Mailed check,Yes,0,Yes,1663.75,Male,22,No
958,Month-to-month,No,No,Fiber optic,71.5718949,Yes,Yes,Electronic check,Yes,0,Yes,2406.828736,Male,34,Yes
959,Month-to-month,Yes,No,DSL,24.4,No phone service,Yes,Mailed check,No,0,No,36.55,Female,2,Yes
960,Month-to-month,Yes,No internet service,No,20.4,No,Yes,Bank transfer (automatic),Yes,0,No internet service,745.3,Male,40,No
961,Two year,No,No internet service,No,19.85,No,No,Bank transfer (automatic),Yes,0,No internet service,1434.1,Male,72,No
962,Month-to-month,No,No internet service,No,20.70357569,No,No,Mailed check,Yes,0,No internet service,24.04738837,Male,1,Yes
963,Month-to-month,No,No,DSL,59.74417686,No,No,Electronic check,Yes,0,No,59.74417686,Female,1,Yes
964,One year,Yes,No internet service,No,20.55,No,No,Credit card (automatic),Yes,0,No internet service,1013.05,Male,47,No
965,Month-to-month,No,No internet service,No,20.25,No,No,Bank transfer (automatic),Yes,0,No internet service,327.45,Male,16,Yes
966,Month-to-month,No,No,Fiber optic,62.26900633,Yes,Yes,Electronic check,Yes,0,Yes,3039.549371,Male,51,Yes
967,Two year,Yes,Yes,DSL,75.15,Yes,Yes,Bank transfer (automatic),Yes,1,No,3822.45,Male,50,No
968,Month-to-month,No,No,Fiber optic,108.1904537,Yes,No,Electronic check,Yes,0,Yes,2284.183874,Male,21,Yes
969,Month-to-month,No,Yes,Fiber optic,101.1,Yes,No,Electronic check,Yes,1,Yes,3744.05,Male,37,Yes
970,Month-to-month,No,No,Fiber optic,90.32861204,No,No,Electronic check,Yes,0,No,90.32861204,Male,1,Yes
971,Month-to-month,Yes,No,Fiber optic,88.8,Yes,Yes,Electronic check,Yes,0,Yes,3340.55,Female,37,No
972,Two year,No,Yes,Fiber optic,107.65,Yes,Yes,Bank transfer (automatic),Yes,0,Yes,7082.85,Female,65,No
973,Two year,Yes,No,DSL,59.7,Yes,Yes,Mailed check,Yes,0,No,1414.2,Male,23,No
974,Month-to-month,No,No,Fiber optic,84.9,Yes,No,Electronic check,Yes,0,No,3067.2,Male,36,Yes
975,Month-to-month,No,No,Fiber optic,81.55,Yes,Yes,Bank transfer (automatic),Yes,0,No,5029.05,Female,63,No
976,Month-to-month,No,No internet service,No,19.75,No,No,Bank transfer (automatic),Yes,0,No internet service,297.3,Female,15,Yes
977,Month-to-month,No,No,Fiber optic,60.516504299999994,Yes,No,Electronic check,Yes,0,Yes,1028.393298,Female,17,No
978,Month-to-month,No,No,DSL,54.5,Yes,No,Credit card (automatic),Yes,0,No,568.2,Male,10,No
979,One year,Yes,No internet service,No,19.1,No,Yes,Credit card (automatic),Yes,0,No internet service,1143.8,Female,61,No
980,One year,Yes,Yes,DSL,55.35,No phone service,Yes,Credit card (automatic),No,0,No,1636.95,Male,29,No
981,Two year,No,Yes,DSL,80.55,Yes,Yes,Bank transfer (automatic),Yes,1,Yes,5265.1,Female,66,Yes
982,Month-to-month,No,No,Fiber optic,84.62237655,Yes,No,Electronic check,Yes,0,Yes,1703.195904,Male,20,Yes
983,Month-to-month,No,No,Fiber optic,82.98770402,Yes,No,Electronic check,Yes,0,Yes,2048.76619,Male,25,Yes
984,Month-to-month,No,No,DSL,33.65514106,No,No,Electronic check,Yes,0,No,77.6969508,Male,2,Yes
985,Two year,No,No internet service,No,19.7,No,No,Mailed check,Yes,0,No internet service,419.4,Male,20,No
986,Month-to-month,No,No,Fiber optic,85.7168834,Yes,No,Electronic check,Yes,0,Yes,3874.582414,Female,43,No
987,One year,Yes,No,DSL,30.25,No phone service,Yes,Credit card (automatic),No,0,No,368.85,Female,12,No
988,Month-to-month,No,No,DSL,49.65,No phone service,Yes,Electronic check,No,0,Yes,2553.35,Female,51,No
989,Month-to-month,No,No,DSL,60.85,Yes,Yes,Bank transfer (automatic),Yes,0,No,2003.6,Female,34,No
990,Month-to-month,No,Yes,Fiber optic,89.8,Yes,Yes,Electronic check,Yes,1,No,914.3,Male,10,Yes
991,Month-to-month,No,No internet service,No,20.35,No,Yes,Bank transfer (automatic),Yes,0,No internet service,697.65,Male,37,No
992,Month-to-month,No,No,Fiber optic,26.51821449,No,No,Electronic check,Yes,0,No,97.71831992,Female,3,Yes
993,One year,No,No,DSL,55.35,Yes,Yes,Electronic check,Yes,0,No,2633.95,Male,49,No
994,Month-to-month,No,No,Fiber optic,96.26414571,Yes,No,Electronic check,Yes,0,Yes,2310.401695,Male,23,Yes
995,Month-to-month,No,No,DSL,47.79739545,No,No,Electronic check,Yes,0,No,47.79739545,Female,1,Yes
996,Two year,Yes,Yes,DSL,64.05,No,Yes,Credit card (automatic),Yes,0,No,4492.9,Female,71,No
997,Month-to-month,No,No,Fiber optic,80.3,Yes,No,Mailed check,Yes,0,No,324.2,Female,4,No
998,Two year,No,No internet service,No,24.65,Yes,No,Mailed check,Yes,1,No internet service,1766.75,Male,71,No
999,Month-to-month,No,No,Fiber optic,86.5,Yes,Yes,Electronic check,Yes,0,No,1808.7,Female,21,Yes
1000,One year,No,Yes,DSL,82.0,Yes,No,Credit card (automatic),Yes,0,Yes,1425.45,Male,18,Yes
1001,Month-to-month,No,No internet service,No,20.05,No,No,Mailed check,Yes,1,No internet service,20.05,Male,1,Yes
1002,Month-to-month,No,Yes,DSL,49.55,No,Yes,Mailed check,Yes,0,No,878.35,Male,18,Yes
1003,Month-to-month,No,Yes,Fiber optic,104.05,Yes,No,Mailed check,Yes,0,Yes,2470.1,Male,23,Yes
1004,Month-to-month,No,No,Fiber optic,86.5,Yes,Yes,Electronic check,Yes,0,Yes,582.5,Female,7,Yes
1005,Month-to-month,No,No,DSL,44.45,No,No,Mailed check,Yes,0,No,44.45,Female,1,Yes
1006,Month-to-month,No,No internet service,No,20.35,No,Yes,Mailed check,Yes,0,No internet service,41.85,Female,2,No
1007,Month-to-month,No,No internet service,No,24.85,Yes,No,Credit card (automatic),Yes,0,No internet service,493.4,Male,22,No
1008,Two year,No,Yes,Fiber optic,96.35,Yes,Yes,Credit card (automatic),Yes,1,No,6766.95,Female,71,No
1009,Two year,Yes,No internet service,No,19.3,No,Yes,Bank transfer (automatic),Yes,0,No internet service,890.5,Female,47,No
1010,One year,No,Yes,DSL,68.45,Yes,Yes,Credit card (automatic),Yes,1,No,4014.0,Female,56,No
1011,One year,Yes,Yes,Fiber optic,110.8,Yes,Yes,Electronic check,Yes,0,Yes,6840.95,Female,62,No
1012,Month-to-month,No,No,Fiber optic,94.26240752,No,No,Electronic check,Yes,0,Yes,552.8008906,Female,6,Yes
1013,Two year,Yes,Yes,Fiber optic,79.2,Yes,Yes,Credit card (automatic),Yes,0,No,5420.65,Male,69,No
1014,Month-to-month,No,Yes,Fiber optic,89.15,No,No,Electronic check,Yes,1,Yes,1496.9,Female,17,Yes
1015,Month-to-month,Yes,No internet service,No,20.0,No,Yes,Electronic check,Yes,0,No internet service,288.05,Male,15,Yes
1016,Month-to-month,No,No,Fiber optic,100.4386256,Yes,No,Electronic check,Yes,0,No,779.4743248999997,Female,7,Yes
1017,Month-to-month,Yes,No,DSL,65.5,No,Yes,Electronic check,Yes,0,No,616.9,Female,10,No
1018,Month-to-month,No,No,Fiber optic,74.10637122,Yes,No,Electronic check,Yes,0,Yes,1443.2631210000006,Female,19,Yes
1019,One year,No,No,Fiber optic,101.9,No,Yes,Credit card (automatic),Yes,0,Yes,2681.15,Female,27,No
1020,Month-to-month,No,No,Fiber optic,91.91110492,No,No,Electronic check,Yes,0,No,91.91110492,Male,1,Yes
1021,Month-to-month,No,No,DSL,44.05,No,Yes,Electronic check,Yes,0,No,483.7,Female,11,Yes
1022,One year,No,Yes,DSL,79.3,Yes,No,Credit card (automatic),Yes,0,Yes,2427.1,Female,30,No
1023,Month-to-month,Yes,No,Fiber optic,85.9,No,No,Bank transfer (automatic),Yes,0,No,1269.55,Female,15,Yes
1024,Month-to-month,No,No internet service,No,19.6,No,No,Credit card (automatic),Yes,0,No internet service,356.15,Male,20,No
1025,Month-to-month,No,Yes,DSL,39.5,No phone service,No,Electronic check,No,0,No,210.75,Female,5,Yes
1026,Month-to-month,No,Yes,DSL,52.3,No phone service,Yes,Bank transfer (automatic),No,1,Yes,3765.05,Male,71,No
1027,Month-to-month,No,Yes,Fiber optic,103.9,Yes,Yes,Electronic check,Yes,0,Yes,2254.2,Female,21,Yes
1028,Two year,Yes,No internet service,No,19.35,No,Yes,Mailed check,Yes,0,No internet service,867.3,Male,42,No
1029,Month-to-month,No,No,Fiber optic,91.3,Yes,No,Electronic check,Yes,1,Yes,1094.5,Female,12,Yes
1030,Month-to-month,No,No,Fiber optic,86.83222789,Yes,No,Electronic check,Yes,0,No,1280.156585,Female,15,Yes
1031,Month-to-month,No,No internet service,No,19.75,No,No,Mailed check,Yes,0,No internet service,19.75,Male,1,Yes
1032,One year,No,No,DSL,62.15,No,Yes,Bank transfer (automatic),Yes,0,Yes,2215.45,Female,35,No
1033,Month-to-month,No,Yes,DSL,53.75,Yes,No,Electronic check,Yes,0,No,608.0,Male,11,Yes
1034,Two year,Yes,No,Fiber optic,107.7,Yes,Yes,Credit card (automatic),Yes,0,Yes,7919.8,Male,72,No
1035,Month-to-month,No,No,Fiber optic,79.85,Yes,No,Electronic check,Yes,0,No,797.25,Male,10,No
1036,Two year,No,No internet service,No,20.05,No,No,Bank transfer (automatic),Yes,1,No internet service,1198.05,Male,64,No
1037,Month-to-month,No,No internet service,No,20.19401832,No,No,Mailed check,Yes,0,No internet service,20.19401832,Male,1,No
1038,Month-to-month,No,No,Fiber optic,77.37538862,No,No,Electronic check,Yes,0,No,418.8314593,Female,5,Yes
1039,One year,No,Yes,Fiber optic,93.8,No,Yes,Electronic check,Yes,0,Yes,2939.8,Male,31,No
1040,One year,No,Yes,DSL,79.0,No,No,Mailed check,Yes,0,Yes,4801.1,Male,60,No
1041,Month-to-month,No,No,DSL,45.7,No,No,Mailed check,Yes,0,No,45.7,Male,1,Yes
1042,Month-to-month,No,No,Fiber optic,74.4,Yes,No,Electronic check,Yes,1,No,74.4,Male,1,Yes
1043,Two year,No,Yes,Fiber optic,99.45,No,No,Bank transfer (automatic),Yes,0,Yes,3109.9,Male,31,No
1044,Two year,No,Yes,DSL,83.2,Yes,Yes,Electronic check,Yes,0,Yes,6126.1,Male,71,No
1045,Month-to-month,No,No,DSL,29.7,No phone service,No,Electronic check,No,0,No,438.25,Male,15,Yes
1046,Month-to-month,No,No,Fiber optic,83.90558186,Yes,No,Electronic check,Yes,0,Yes,1364.888794,Male,16,Yes
1047,Month-to-month,No,No,Fiber optic,70.4,No,Yes,Bank transfer (automatic),Yes,0,No,1214.05,Male,17,Yes
1048,Month-to-month,No,Yes,Fiber optic,94.0,Yes,No,Electronic check,Yes,0,Yes,773.65,Male,8,Yes
1049,Month-to-month,Yes,Yes,Fiber optic,79.35,Yes,Yes,Bank transfer (automatic),Yes,0,No,661.25,Male,9,Yes
1050,Month-to-month,No,No,Fiber optic,89.4,Yes,No,Credit card (automatic),Yes,0,No,5976.9,Male,66,No
1051,Two year,No,Yes,Fiber optic,86.4,Yes,No,Credit card (automatic),Yes,0,No,6172.0,Male,71,No
1052,Month-to-month,No,No,Fiber optic,61.75570414,No,No,Electronic check,Yes,0,No,280.22771739999996,Female,4,No
1053,Month-to-month,No,Yes,Fiber optic,109.85,Yes,No,Credit card (automatic),Yes,0,Yes,7002.95,Female,63,No
1054,One year,No,Yes,Fiber optic,105.75,Yes,Yes,Credit card (automatic),Yes,1,Yes,7629.85,Female,72,No
1055,Month-to-month,No,No,Fiber optic,70.27255254,No,No,Electronic check,Yes,0,No,304.94701989999993,Female,4,Yes
1056,One year,No,No,DSL,45.35,No phone service,Yes,Electronic check,No,0,Yes,2540.1,Female,58,No
1057,Month-to-month,No,Yes,Fiber optic,86.58321757,Yes,Yes,Electronic check,Yes,0,Yes,4151.557129,Female,47,Yes
1058,Month-to-month,No,No,DSL,52.45709201,No,No,Electronic check,Yes,0,No,52.45709201,Female,1,No
1059,Two year,Yes,Yes,DSL,68.75,No,Yes,Credit card (automatic),Yes,0,No,4888.2,Female,72,No
1060,Month-to-month,No,No,Fiber optic,70.3,No,No,Electronic check,Yes,0,No,70.3,Female,1,Yes
1061,Month-to-month,No,No,DSL,49.9,No,No,Mailed check,Yes,0,No,130.1,Male,3,Yes
1062,Month-to-month,No,No,Fiber optic,84.3,No,No,Mailed check,Yes,0,No,1855.65,Female,22,Yes
1063,Two year,No,No internet service,No,25.55,Yes,Yes,Mailed check,Yes,0,No internet service,1714.95,Female,64,No
1064,Month-to-month,No,No,DSL,59.15,No,No,Bank transfer (automatic),Yes,0,No,336.7,Male,6,No
1065,One year,Yes,Yes,DSL,55.95,No phone service,Yes,Electronic check,No,0,Yes,1157.05,Female,21,Yes
1066,Two year,Yes,No internet service,No,24.25,Yes,Yes,Bank transfer (automatic),Yes,0,No internet service,1424.6,Male,62,No
1067,One year,Yes,Yes,Fiber optic,116.25,Yes,Yes,Electronic check,Yes,1,Yes,7862.25,Male,66,No
1068,Month-to-month,No,No,DSL,35.75,No phone service,No,Electronic check,No,0,No,389.8,Male,10,No
1069,Month-to-month,Yes,No,DSL,44.5,No,Yes,Electronic check,Yes,0,No,90.05,Male,2,No
1070,One year,No,No,DSL,66.15,Yes,Yes,Credit card (automatic),Yes,0,Yes,4392.5,Male,64,No
1071,Month-to-month,No,No,DSL,30.43330234,No,No,Electronic check,Yes,0,No,157.8928731,Female,5,No
1072,One year,No,No,Fiber optic,101.15,Yes,Yes,Bank transfer (automatic),Yes,0,Yes,6383.9,Female,61,No
1073,Two year,No,No,DSL,67.95,No,Yes,Mailed check,Yes,0,No,4664.15,Male,70,No
1074,Month-to-month,No,No,Fiber optic,80.3,No,Yes,Credit card (automatic),Yes,1,No,2483.05,Male,32,Yes
1075,Month-to-month,No,No,Fiber optic,94.8,No,No,Credit card (automatic),Yes,0,Yes,3565.65,Female,36,No
1076,Month-to-month,No,No,Fiber optic,90.65,Yes,No,Electronic check,Yes,0,No,2989.6,Female,33,No
1077,Month-to-month,No,No,Fiber optic,68.65,No,No,Electronic check,Yes,0,No,1493.2,Female,21,No
1078,Month-to-month,No,No,Fiber optic,78.93585809999998,Yes,No,Electronic check,Yes,0,No,853.2294437,Female,11,Yes
1079,Month-to-month,No,No,Fiber optic,47.0955331,No,No,Electronic check,Yes,0,No,195.74334840000003,Female,3,Yes
1080,One year,No,Yes,Fiber optic,110.15,Yes,Yes,Electronic check,Yes,0,Yes,6448.05,Male,59,Yes
1081,Two year,Yes,Yes,DSL,49.65,No phone service,Yes,Credit card (automatic),No,0,No,305.55,Male,7,No
1082,Month-to-month,No,Yes,Fiber optic,91.05,Yes,Yes,Credit card (automatic),Yes,1,No,4370.75,Male,48,No
1083,Month-to-month,Yes,No,DSL,30.5,No phone service,Yes,Electronic check,No,0,No,167.2,Female,5,No
1084,Month-to-month,No,No,Fiber optic,80.55349026,Yes,Yes,Electronic check,Yes,0,Yes,2846.768413,Male,36,No
